"Cost per minute in INR on the WhatsApp Business Platform, effective August 1, 2025",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,₹,,"50,000",List rate,0.7403
,₹,"50,001","250,000",Tier rate,0.6157
,₹,"250,001","1,000,000",Tier rate,0.5351
,₹,"1,000,001","2,500,000",Tier rate,0.4618
,₹,"2,500,001","5,000,000",Tier rate,0.3811
,₹,"5,000,001",--,Tier rate,0.3372
Brazil,₹,,"50,000",List rate,0.7916
,₹,"50,001","250,000",Tier rate,0.4984
,₹,"250,001","1,000,000",Tier rate,0.3225
,₹,"1,000,001","2,500,000",Tier rate,0.2492
,₹,"2,500,001","5,000,000",Tier rate,0.1466
,₹,"5,000,001",--,Tier rate,0.1319
Chile,₹,,"50,000",List rate,0.8869
,₹,"50,001","250,000",Tier rate,0.7183
,₹,"250,001","1,000,000",Tier rate,0.6304
,₹,"1,000,001","2,500,000",Tier rate,0.5424
,₹,"2,500,001","5,000,000",Tier rate,0.4838
,₹,"5,000,001",--,Tier rate,0.4031
Colombia,₹,,"50,000",List rate,0.8136
,₹,"50,001","250,000",Tier rate,0.667
,₹,"250,001","1,000,000",Tier rate,0.5864
,₹,"1,000,001","2,500,000",Tier rate,0.4764
,₹,"2,500,001","5,000,000",Tier rate,0.2932
,₹,"5,000,001",--,Tier rate,0.2859
Egypt,₹,,"50,000",List rate,0.9309
,₹,"50,001","250,000",Tier rate,0.7843
,₹,"250,001","1,000,000",Tier rate,0.6597
,₹,"1,000,001","2,500,000",Tier rate,0.4984
,₹,"2,500,001","5,000,000",Tier rate,0.4031
,₹,"5,000,001",--,Tier rate,0.3665
France,₹,,"50,000",List rate,0.7257
,₹,"50,001","250,000",Tier rate,0.6011
,₹,"250,001","1,000,000",Tier rate,0.5205
,₹,"1,000,001","2,500,000",Tier rate,0.4325
,₹,"2,500,001","5,000,000",Tier rate,0.3812
,₹,"5,000,001",--,Tier rate,0.3445
Germany,₹,,"50,000",List rate,0.755
,₹,"50,001","250,000",Tier rate,0.6157
,₹,"250,001","1,000,000",Tier rate,0.5424
,₹,"1,000,001","2,500,000",Tier rate,0.4545
,₹,"2,500,001","5,000,000",Tier rate,0.3445
,₹,"5,000,001",--,Tier rate,0.3079
India,₹,,"50,000",List rate,0.3885
,₹,"50,001","250,000",Tier rate,0.2785
,₹,"250,001","1,000,000",Tier rate,0.1759
,₹,"1,000,001","2,500,000",Tier rate,0.1319
,₹,"2,500,001","5,000,000",Tier rate,0.088
,₹,"5,000,001",--,Tier rate,0.0586
Indonesia,₹,,"50,000",List rate,1.7739
,₹,"50,001","250,000",Tier rate,1.5393
,₹,"250,001","1,000,000",Tier rate,1.444
,₹,"1,000,001","2,500,000",Tier rate,1.3414
,₹,"2,500,001","5,000,000",Tier rate,1.1435
,₹,"5,000,001",--,Tier rate,1.0482
Israel,₹,,"50,000",List rate,0.9309
,₹,"50,001","250,000",Tier rate,0.7843
,₹,"250,001","1,000,000",Tier rate,0.6744
,₹,"1,000,001","2,500,000",Tier rate,0.4764
,₹,"2,500,001","5,000,000",Tier rate,0.3958
,₹,"5,000,001",--,Tier rate,0.3518
Italy,₹,,"50,000",List rate,0.8869
,₹,"50,001","250,000",Tier rate,0.7843
,₹,"250,001","1,000,000",Tier rate,0.6963
,₹,"1,000,001","2,500,000",Tier rate,0.6084
,₹,"2,500,001","5,000,000",Tier rate,0.5571
,₹,"5,000,001",--,Tier rate,0.5058
Malaysia,₹,,"50,000",List rate,0.7916
,₹,"50,001","250,000",Tier rate,0.689
,₹,"250,001","1,000,000",Tier rate,0.5204
,₹,"1,000,001","2,500,000",Tier rate,0.5057
,₹,"2,500,001","5,000,000",Tier rate,0.4325
,₹,"5,000,001",--,Tier rate,0.3885
Mexico,₹,,"50,000",List rate,0.689
,₹,"50,001","250,000",Tier rate,0.5864
,₹,"250,001","1,000,000",Tier rate,0.5131
,₹,"1,000,001","2,500,000",Tier rate,0.3958
,₹,"2,500,001","5,000,000",Tier rate,0.3079
,₹,"5,000,001",--,Tier rate,0.2785
Netherlands,₹,,"50,000",List rate,0.4618
,₹,"50,001","250,000",Tier rate,0.3812
,₹,"250,001","1,000,000",Tier rate,0.3152
,₹,"1,000,001","2,500,000",Tier rate,0.2492
,₹,"2,500,001","5,000,000",Tier rate,0.1833
,₹,"5,000,001",--,Tier rate,0.1686
Nigeria,₹,,"50,000",List rate,0.755
,₹,"50,001","250,000",Tier rate,0.6157
,₹,"250,001","1,000,000",Tier rate,0.5424
,₹,"1,000,001","2,500,000",Tier rate,0.5058
,₹,"2,500,001","5,000,000",Tier rate,0.4032
,₹,"5,000,001",--,Tier rate,0.3885
Pakistan,₹,,"50,000",List rate,0.8723
,₹,"50,001","250,000",Tier rate,0.6744
,₹,"250,001","1,000,000",Tier rate,0.6011
,₹,"1,000,001","2,500,000",Tier rate,0.5498
,₹,"2,500,001","5,000,000",Tier rate,0.5204
,₹,"5,000,001",--,Tier rate,0.4911
Peru,₹,,"50,000",List rate,0.8869
,₹,"50,001","250,000",Tier rate,0.7183
,₹,"250,001","1,000,000",Tier rate,0.6304
,₹,"1,000,001","2,500,000",Tier rate,0.5424
